,Unnamed: 0,LMAHDY
3865,2003-01-02,1.0
3866,2003-01-03,1.0
3867,2003-01-06,1.0
3868,2003-01-07,1.0
3869,2003-01-08,1.0
3870,2003-01-09,1.0
3871,2003-01-10,1.0
3872,2003-01-13,1.0
3873,2003-01-14,1.0
3874,2003-01-15,1.0
3875,2003-01-16,1.0
3876,2003-01-17,1.0
3877,2003-01-20,1.0
3878,2003-01-21,1.0
3879,2003-01-22,0.0
3880,2003-01-23,0.0
3881,2003-01-24,1.0
3882,2003-01-27,1.0
3883,2003-01-28,1.0
3884,2003-01-29,1.0
3885,2003-01-30,1.0
3886,2003-01-31,1.0
3887,2003-02-03,1.0
3888,2003-02-04,0.0
3889,2003-02-05,0.0
3890,2003-02-06,1.0
3891,2003-02-07,1.0
3892,2003-02-10,0.0
3893,2003-02-11,0.0
3894,2003-02-12,0.0
3895,2003-02-13,0.0
3896,2003-02-14,0.0
3897,2003-02-17,0.0
3898,2003-02-18,0.0
3899,2003-02-19,0.0
3900,2003-02-20,0.0
3901,2003-02-21,0.0
3902,2003-02-24,0.0
3903,2003-02-25,0.0
3904,2003-02-26,0.0
3905,2003-02-27,0.0
3906,2003-02-28,0.0
3907,2003-03-03,0.0
3908,2003-03-04,0.0
3909,2003-03-05,0.0
3910,2003-03-06,0.0
3911,2003-03-07,0.0
3912,2003-03-10,0.0
3913,2003-03-11,0.0
3914,2003-03-12,0.0
3915,2003-03-13,0.0
3916,2003-03-14,0.0
3917,2003-03-17,0.0
3918,2003-03-18,0.0
3919,2003-03-19,0.0
3920,2003-03-20,0.0
3921,2003-03-21,0.0
3922,2003-03-24,0.0
3923,2003-03-25,0.0
3924,2003-03-26,0.0
3925,2003-03-27,0.0
3926,2003-03-28,0.0
3927,2003-03-31,1.0
3928,2003-04-01,1.0
3929,2003-04-02,1.0
3930,2003-04-03,1.0
3931,2003-04-04,1.0
3932,2003-04-07,1.0
3933,2003-04-08,1.0
3934,2003-04-09,1.0
3935,2003-04-10,1.0
3936,2003-04-11,1.0
3937,2003-04-14,1.0
3938,2003-04-15,1.0
3939,2003-04-16,1.0
3940,2003-04-17,1.0
3941,2003-04-22,1.0
3942,2003-04-23,1.0
3943,2003-04-24,1.0
3944,2003-04-25,1.0
3945,2003-04-28,1.0
3946,2003-04-29,1.0
3947,2003-04-30,1.0
3948,2003-05-01,1.0
3949,2003-05-02,1.0
3950,2003-05-06,1.0
3951,2003-05-07,1.0
3952,2003-05-08,1.0
3953,2003-05-09,1.0
3954,2003-05-12,0.0
3955,2003-05-13,0.0
3956,2003-05-14,0.0
3957,2003-05-15,0.0
3958,2003-05-16,0.0
3959,2003-05-19,1.0
3960,2003-05-20,1.0
3961,2003-05-21,1.0
3962,2003-05-22,0.0
3963,2003-05-23,0.0
3964,2003-05-27,0.0
3965,2003-05-28,0.0
3966,2003-05-29,0.0
3967,2003-05-30,0.0
3968,2003-06-02,0.0
3969,2003-06-03,0.0
3970,2003-06-04,0.0
3971,2003-06-05,0.0
3972,2003-06-06,0.0
3973,2003-06-09,1.0
3974,2003-06-10,1.0
3975,2003-06-11,1.0
3976,2003-06-12,1.0
3977,2003-06-13,1.0
3978,2003-06-16,1.0
3979,2003-06-17,1.0
3980,2003-06-18,0.0
3981,2003-06-19,0.0
3982,2003-06-20,1.0
3983,2003-06-23,1.0
3984,2003-06-24,1.0
3985,2003-06-25,1.0
3986,2003-06-26,1.0
3987,2003-06-27,1.0
3988,2003-06-30,1.0
3989,2003-07-01,1.0
3990,2003-07-02,1.0
3991,2003-07-03,1.0
3992,2003-07-04,1.0
3993,2003-07-07,1.0
3994,2003-07-08,1.0
3995,2003-07-09,1.0
3996,2003-07-10,1.0
3997,2003-07-11,1.0
3998,2003-07-14,0.0
3999,2003-07-15,0.0
4000,2003-07-16,1.0
4001,2003-07-17,1.0
4002,2003-07-18,1.0
4003,2003-07-21,1.0
4004,2003-07-22,1.0
4005,2003-07-23,1.0
4006,2003-07-24,0.0
4007,2003-07-25,0.0
4008,2003-07-28,0.0
4009,2003-07-29,0.0
4010,2003-07-30,0.0
4011,2003-07-31,0.0
4012,2003-08-01,0.0
4013,2003-08-04,0.0
4014,2003-08-05,0.0
4015,2003-08-06,0.0
4016,2003-08-07,0.0
4017,2003-08-08,0.0
4018,2003-08-11,0.0
4019,2003-08-12,0.0
4020,2003-08-13,0.0
4021,2003-08-14,0.0
4022,2003-08-15,0.0
4023,2003-08-18,0.0
4024,2003-08-19,0.0
4025,2003-08-20,0.0
4026,2003-08-21,0.0
4027,2003-08-22,0.0
4028,2003-08-26,0.0
4029,2003-08-27,0.0
4030,2003-08-28,1.0
4031,2003-08-29,0.0
4032,2003-09-01,0.0
4033,2003-09-02,0.0
4034,2003-09-03,0.0
4035,2003-09-04,0.0
4036,2003-09-05,0.0
4037,2003-09-08,0.0
4038,2003-09-09,1.0
4039,2003-09-10,1.0
4040,2003-09-11,1.0
4041,2003-09-12,1.0
4042,2003-09-15,1.0
4043,2003-09-16,1.0
4044,2003-09-17,1.0
4045,2003-09-18,1.0
4046,2003-09-19,1.0
4047,2003-09-22,1.0
4048,2003-09-23,1.0
4049,2003-09-24,1.0
4050,2003-09-25,1.0
4051,2003-09-26,1.0
4052,2003-09-29,1.0
4053,2003-09-30,1.0
4054,2003-10-01,1.0
4055,2003-10-02,1.0
4056,2003-10-03,1.0
4057,2003-10-06,1.0
4058,2003-10-07,1.0
4059,2003-10-08,1.0
4060,2003-10-09,1.0
4061,2003-10-10,1.0
4062,2003-10-13,0.0
4063,2003-10-14,1.0
4064,2003-10-15,1.0
4065,2003-10-16,1.0
4066,2003-10-17,1.0
4067,2003-10-20,1.0
4068,2003-10-21,1.0
4069,2003-10-22,1.0
4070,2003-10-23,1.0
4071,2003-10-24,1.0
4072,2003-10-27,1.0
4073,2003-10-28,1.0
4074,2003-10-29,1.0
4075,2003-10-30,0.0
4076,2003-10-31,1.0
4077,2003-11-03,1.0
4078,2003-11-04,1.0
4079,2003-11-05,1.0
4080,2003-11-06,1.0
4081,2003-11-07,1.0
4082,2003-11-10,1.0
4083,2003-11-11,1.0
4084,2003-11-12,1.0
4085,2003-11-13,1.0
4086,2003-11-14,1.0
4087,2003-11-17,1.0
4088,2003-11-18,1.0
4089,2003-11-19,1.0
4090,2003-11-20,1.0
4091,2003-11-21,1.0
4092,2003-11-24,1.0
4093,2003-11-25,1.0
4094,2003-11-26,1.0
4095,2003-11-27,1.0
4096,2003-11-28,1.0
4097,2003-12-01,1.0
4098,2003-12-02,1.0
4099,2003-12-03,1.0
4100,2003-12-04,1.0
4101,2003-12-05,1.0
4102,2003-12-08,1.0
4103,2003-12-09,1.0
4104,2003-12-10,1.0
4105,2003-12-11,1.0
4106,2003-12-12,1.0
4107,2003-12-15,1.0
4108,2003-12-16,1.0
4109,2003-12-17,1.0
4110,2003-12-18,1.0
4111,2003-12-19,1.0
4112,2003-12-22,1.0
4113,2003-12-23,1.0
4114,2003-12-24,1.0
4115,2003-12-29,1.0
4116,2003-12-30,1.0
4117,2003-12-31,1.0
4118,2004-01-02,1.0
4119,2004-01-05,1.0
4120,2004-01-06,1.0
4121,2004-01-07,1.0
4122,2004-01-08,1.0
4123,2004-01-09,1.0
4124,2004-01-12,1.0
4125,2004-01-13,1.0
4126,2004-01-14,1.0
4127,2004-01-15,1.0
4128,2004-01-16,1.0
4129,2004-01-19,1.0
4130,2004-01-20,1.0
4131,2004-01-21,1.0
4132,2004-01-22,1.0
4133,2004-01-23,1.0
4134,2004-01-26,1.0
4135,2004-01-27,1.0
4136,2004-01-28,1.0
4137,2004-01-29,1.0
4138,2004-01-30,1.0
4139,2004-02-02,1.0
4140,2004-02-03,1.0
4141,2004-02-04,0.0
4142,2004-02-05,0.0
4143,2004-02-06,0.0
4144,2004-02-09,0.0
4145,2004-02-10,0.0
4146,2004-02-11,0.0
4147,2004-02-12,0.0
