,Unnamed: 0,LMSNDY
3425,2003-01-02,1.0
3426,2003-01-03,1.0
3427,2003-01-06,1.0
3428,2003-01-07,1.0
3429,2003-01-08,0.0
3430,2003-01-09,0.0
3431,2003-01-10,0.0
3432,2003-01-13,0.0
3433,2003-01-14,1.0
3434,2003-01-15,1.0
3435,2003-01-16,1.0
3436,2003-01-17,1.0
3437,2003-01-20,1.0
3438,2003-01-21,1.0
3439,2003-01-22,1.0
3440,2003-01-23,1.0
3441,2003-01-24,1.0
3442,2003-01-27,1.0
3443,2003-01-28,1.0
3444,2003-01-29,1.0
3445,2003-01-30,1.0
3446,2003-01-31,1.0
3447,2003-02-03,1.0
3448,2003-02-04,1.0
3449,2003-02-05,1.0
3450,2003-02-06,1.0
3451,2003-02-07,1.0
3452,2003-02-10,1.0
3453,2003-02-11,1.0
3454,2003-02-12,0.0
3455,2003-02-13,0.0
3456,2003-02-14,0.0
3457,2003-02-17,0.0
3458,2003-02-18,0.0
3459,2003-02-19,1.0
3460,2003-02-20,0.0
3461,2003-02-21,0.0
3462,2003-02-24,0.0
3463,2003-02-25,0.0
3464,2003-02-26,0.0
3465,2003-02-27,0.0
3466,2003-02-28,0.0
3467,2003-03-03,0.0
3468,2003-03-04,0.0
3469,2003-03-05,0.0
3470,2003-03-06,0.0
3471,2003-03-07,0.0
3472,2003-03-10,1.0
3473,2003-03-11,0.0
3474,2003-03-12,1.0
3475,2003-03-13,0.0
3476,2003-03-14,1.0
3477,2003-03-17,0.0
3478,2003-03-18,0.0
3479,2003-03-19,0.0
3480,2003-03-20,0.0
3481,2003-03-21,0.0
3482,2003-03-24,0.0
3483,2003-03-25,0.0
3484,2003-03-26,0.0
3485,2003-03-27,1.0
3486,2003-03-28,1.0
3487,2003-03-31,1.0
3488,2003-04-01,1.0
3489,2003-04-02,1.0
3490,2003-04-03,1.0
3491,2003-04-04,1.0
3492,2003-04-07,1.0
3493,2003-04-08,1.0
3494,2003-04-09,1.0
3495,2003-04-10,1.0
3496,2003-04-11,1.0
3497,2003-04-14,1.0
3498,2003-04-15,1.0
3499,2003-04-16,1.0
3500,2003-04-17,1.0
3501,2003-04-22,1.0
3502,2003-04-23,1.0
3503,2003-04-24,1.0
3504,2003-04-25,1.0
3505,2003-04-28,1.0
3506,2003-04-29,1.0
3507,2003-04-30,1.0
3508,2003-05-01,1.0
3509,2003-05-02,1.0
3510,2003-05-06,1.0
3511,2003-05-07,0.0
