,Unnamed: 0,UKX
4817,2003-01-02,3940.4
4818,2003-01-03,4009.5
4819,2003-01-06,4004.9
4820,2003-01-07,4001.4
4821,2003-01-08,3957.4
4822,2003-01-09,3924.8
4823,2003-01-10,3934.0
4824,2003-01-13,3974.1
4825,2003-01-14,3948.3
4826,2003-01-15,3945.6
4827,2003-01-16,3887.8
4828,2003-01-17,3881.8
4829,2003-01-20,3820.6
4830,2003-01-21,3778.6
4831,2003-01-22,3736.7
4832,2003-01-23,3678.0
4833,2003-01-24,3622.2
4834,2003-01-27,3603.7
4835,2003-01-28,3480.8
4836,2003-01-29,3490.0
4837,2003-01-30,3483.8
4838,2003-01-31,3578.7
4839,2003-02-03,3567.4
4840,2003-02-04,3689.4
4841,2003-02-05,3590.1
4842,2003-02-06,3678.7
4843,2003-02-07,3597.0
4844,2003-02-10,3599.2
4845,2003-02-11,3579.1
4846,2003-02-12,3669.2
4847,2003-02-13,3616.1
4848,2003-02-14,3610.8
4849,2003-02-17,3611.9
4850,2003-02-18,3692.4
4851,2003-02-19,3729.5
4852,2003-02-20,3658.3
4853,2003-02-21,3687.2
4854,2003-02-24,3727.1
4855,2003-02-25,3701.8
4856,2003-02-26,3621.5
4857,2003-02-27,3593.3
4858,2003-02-28,3569.9
4859,2003-03-03,3655.6
4860,2003-03-04,3684.7
4861,2003-03-05,3625.3
4862,2003-03-06,3563.5
4863,2003-03-07,3555.4
4864,2003-03-10,3491.6
4865,2003-03-11,3436.0
4866,2003-03-12,3452.7
4867,2003-03-13,3287.0
4868,2003-03-14,3486.9
4869,2003-03-17,3601.8
4870,2003-03-18,3722.3
4871,2003-03-19,3747.3
4872,2003-03-20,3765.4
4873,2003-03-21,3765.7
4874,2003-03-24,3861.1
4875,2003-03-25,3743.3
4876,2003-03-26,3762.0
4877,2003-03-27,3793.1
4878,2003-03-28,3729.1
4879,2003-03-31,3708.5
4880,2003-04-01,3613.3
4881,2003-04-02,3684.8
4882,2003-04-03,3753.4
4883,2003-04-04,3771.1
4884,2003-04-07,3814.4
4885,2003-04-08,3935.8
4886,2003-04-09,3868.8
4887,2003-04-10,3861.4
4888,2003-04-11,3803.3
4889,2003-04-14,3808.1
4890,2003-04-15,3849.4
4891,2003-04-16,3916.8
4892,2003-04-17,3854.9
4893,2003-04-22,3889.2
4894,2003-04-23,3917.7
4895,2003-04-24,3966.5
4896,2003-04-25,3899.0
4897,2003-04-28,3870.2
4898,2003-04-29,3940.3
4899,2003-04-30,3927.8
4900,2003-05-01,3926.0
4901,2003-05-02,3880.1
4902,2003-05-06,3952.6
4903,2003-05-07,4006.4
4904,2003-05-08,3992.9
4905,2003-05-09,3928.9
4906,2003-05-12,3969.4
4907,2003-05-13,3987.4
