,Unnamed: 0,NKY
8153,2003-01-06,8713.33
8154,2003-01-07,8656.5
8155,2003-01-08,8517.8
8156,2003-01-09,8497.93
8157,2003-01-10,8470.45
8158,2003-01-14,8553.06
8159,2003-01-15,8611.75
8160,2003-01-16,8609.17
8161,2003-01-17,8690.25
8162,2003-01-20,8558.82
8163,2003-01-21,8708.58
8164,2003-01-22,8611.04
8165,2003-01-23,8790.92
8166,2003-01-24,8731.65
8167,2003-01-27,8609.47
8168,2003-01-28,8525.39
8169,2003-01-29,8331.08
8170,2003-01-30,8316.81
8171,2003-01-31,8339.94
8172,2003-02-03,8500.79
8173,2003-02-04,8484.9
8174,2003-02-05,8549.85
8175,2003-02-06,8484.19
8176,2003-02-07,8448.16
8177,2003-02-10,8484.93
8178,2003-02-12,8664.17
8179,2003-02-13,8599.66
8180,2003-02-14,8701.92
8181,2003-02-17,8771.89
8182,2003-02-18,8692.97
8183,2003-02-19,8678.44
8184,2003-02-20,8650.92
8185,2003-02-21,8513.54
8186,2003-02-24,8564.95
8187,2003-02-25,8360.49
8188,2003-02-26,8356.81
8189,2003-02-27,8359.38
8190,2003-02-28,8363.04
8191,2003-03-03,8490.4
8192,2003-03-04,8480.22
8193,2003-03-05,8472.62
8194,2003-03-06,8369.15
8195,2003-03-07,8144.12
8196,2003-03-10,8042.26
8197,2003-03-11,7862.43
8198,2003-03-12,7943.04
8199,2003-03-13,7868.56
8200,2003-03-14,8002.69
8201,2003-03-17,7871.64
8202,2003-03-18,7954.46
8203,2003-03-19,8051.04
8204,2003-03-20,8195.05
8205,2003-03-24,8435.07
8206,2003-03-25,8238.76
8207,2003-03-26,8351.92
8208,2003-03-27,8368.67
8209,2003-03-28,8280.16
8210,2003-03-31,7972.71
8211,2003-04-01,7986.72
8212,2003-04-02,8069.85
8213,2003-04-03,8017.75
8214,2003-04-04,8074.12
8215,2003-04-07,8249.98
8216,2003-04-08,8131.41
8217,2003-04-09,8057.61
8218,2003-04-10,7980.12
8219,2003-04-11,7816.49
8220,2003-04-14,7752.1
8221,2003-04-15,7838.83
8222,2003-04-16,7879.49
8223,2003-04-17,7821.9
8224,2003-04-18,7874.51
8225,2003-04-21,7969.08
8226,2003-04-22,7790.46
8227,2003-04-23,7793.38
8228,2003-04-24,7854.57
8229,2003-04-25,7699.5
8230,2003-04-28,7607.88
8231,2003-04-30,7831.42
8232,2003-05-01,7863.29
8233,2003-05-02,7907.19
8234,2003-05-06,8083.56
8235,2003-05-07,8109.77
8236,2003-05-08,8031.55
8237,2003-05-09,8152.16
8238,2003-05-12,8221.12
8239,2003-05-13,8190.26
8240,2003-05-14,8244.91
8241,2003-05-15,8123.4
8242,2003-05-16,8117.29
8243,2003-05-19,8039.13
8244,2003-05-20,8059.48
8245,2003-05-21,8018.51
8246,2003-05-22,8051.66
8247,2003-05-23,8184.76
8248,2003-05-26,8227.32
8249,2003-05-27,8120.24
8250,2003-05-28,8234.18
8251,2003-05-29,8375.36
8252,2003-05-30,8424.51
8253,2003-06-02,8547.17
8254,2003-06-03,8564.49
8255,2003-06-04,8557.86
8256,2003-06-05,8657.23
8257,2003-06-06,8785.87
8258,2003-06-09,8822.73
8259,2003-06-10,8789.09
8260,2003-06-11,8890.3
8261,2003-06-12,8918.6
8262,2003-06-13,8980.64
8263,2003-06-16,8839.83
8264,2003-06-17,9033.0
8265,2003-06-18,9092.97
8266,2003-06-19,9110.51
8267,2003-06-20,9120.39
8268,2003-06-23,9137.14
8269,2003-06-24,8919.26
8270,2003-06-25,8932.26
8271,2003-06-26,8923.41
8272,2003-06-27,9104.06
8273,2003-06-30,9083.11
8274,2003-07-01,9278.49
8275,2003-07-02,9592.24
8276,2003-07-03,9624.8
8277,2003-07-04,9547.73
8278,2003-07-07,9795.16
8279,2003-07-08,9898.72
8280,2003-07-09,9990.95
8281,2003-07-10,9955.62
8282,2003-07-11,9635.35
8283,2003-07-14,9755.63
8284,2003-07-15,9751.0
8285,2003-07-16,9735.97
8286,2003-07-17,9498.86
8287,2003-07-18,9527.73
8288,2003-07-22,9485.97
8289,2003-07-23,9615.34
8290,2003-07-24,9671.0
8291,2003-07-25,9648.01
8292,2003-07-28,9839.91
8293,2003-07-29,9834.31
8294,2003-07-30,9632.66
8295,2003-07-31,9563.21
8296,2003-08-01,9611.67
8297,2003-08-04,9452.79
8298,2003-08-05,9382.58
8299,2003-08-06,9323.91
8300,2003-08-07,9265.56
8301,2003-08-08,9327.53
8302,2003-08-11,9487.8
8303,2003-08-12,9564.81
8304,2003-08-13,9752.75
8305,2003-08-14,9913.47
8306,2003-08-15,9863.47
8307,2003-08-18,10032.97
8308,2003-08-19,10174.1
8309,2003-08-20,10292.06
8310,2003-08-21,10362.69
8311,2003-08-22,10281.17
8312,2003-08-25,10276.64
8313,2003-08-26,10332.57
8314,2003-08-27,10308.99
8315,2003-08-28,10225.22
8316,2003-08-29,10343.55
8317,2003-09-01,10670.18
8318,2003-09-02,10690.08
8319,2003-09-03,10715.69
8320,2003-09-04,10646.95
8321,2003-09-05,10650.77
8322,2003-09-08,10683.76
8323,2003-09-09,10922.04
8324,2003-09-10,10856.32
8325,2003-09-11,10546.33
8326,2003-09-12,10712.81
8327,2003-09-16,10887.03
8328,2003-09-17,10990.11
8329,2003-09-18,11033.32
8330,2003-09-19,10938.42
8331,2003-09-22,10475.1
8332,2003-09-24,10502.29
8333,2003-09-25,10310.04
8334,2003-09-26,10318.44
8335,2003-09-29,10229.57
8336,2003-09-30,10219.05
8337,2003-10-01,10361.24
8338,2003-10-02,10593.53
8339,2003-10-03,10709.29
8340,2003-10-06,10740.14
8341,2003-10-07,10820.33
8342,2003-10-08,10542.2
8343,2003-10-09,10531.44
8344,2003-10-10,10786.04
8345,2003-10-14,10966.43
8346,2003-10-15,10899.95
8347,2003-10-16,11025.15
8348,2003-10-17,11037.89
8349,2003-10-20,11161.71
8350,2003-10-21,11031.52
8351,2003-10-22,10889.62
8352,2003-10-23,10335.16
8353,2003-10-24,10335.7
8354,2003-10-27,10454.12
8355,2003-10-28,10561.01
8356,2003-10-29,10739.22
8357,2003-10-30,10695.56
8358,2003-10-31,10559.59
8359,2003-11-04,10847.97
8360,2003-11-05,10837.54
8361,2003-11-06,10552.3
8362,2003-11-07,10628.98
8363,2003-11-10,10504.54
8364,2003-11-11,10207.04
8365,2003-11-12,10226.22
8366,2003-11-13,10337.67
8367,2003-11-14,10167.06
8368,2003-11-17,9786.83
8369,2003-11-18,9897.05
8370,2003-11-19,9614.6
8371,2003-11-20,9865.7
8372,2003-11-21,9852.83
8373,2003-11-25,9960.2
8374,2003-11-26,10144.83
8375,2003-11-27,10163.38
8376,2003-11-28,10100.57
8377,2003-12-01,10403.27
8378,2003-12-02,10410.15
8379,2003-12-03,10326.39
8380,2003-12-04,10429.99
8381,2003-12-05,10373.46
8382,2003-12-08,10045.34
8383,2003-12-09,10124.28
8384,2003-12-10,9910.56
8385,2003-12-11,10075.14
8386,2003-12-12,10169.66
8387,2003-12-15,10490.77
8388,2003-12-16,10271.6
8389,2003-12-17,10092.64
8390,2003-12-18,10104.0
8391,2003-12-19,10284.54
8392,2003-12-22,10372.51
8393,2003-12-24,10371.27
8394,2003-12-25,10365.35
8395,2003-12-26,10417.41
8396,2003-12-29,10500.62
8397,2003-12-30,10676.64
8398,2004-01-05,10825.17
8399,2004-01-06,10813.99
8400,2004-01-07,10757.82
8401,2004-01-08,10837.65
8402,2004-01-09,10965.05
8403,2004-01-13,10849.68
8404,2004-01-14,10863.0
8405,2004-01-15,10665.15
8406,2004-01-16,10857.2
8407,2004-01-19,11036.33
8408,2004-01-20,11103.1
8409,2004-01-21,11002.39
8410,2004-01-22,11000.7
8411,2004-01-23,11069.01
8412,2004-01-26,10972.6
8413,2004-01-27,10928.03
8414,2004-01-28,10852.47
8415,2004-01-29,10779.44
8416,2004-01-30,10783.61
8417,2004-02-02,10776.73
8418,2004-02-03,10641.92
8419,2004-02-04,10447.25
8420,2004-02-05,10464.6
8421,2004-02-06,10460.92
