,Unnamed: 0,SPX
13335,2003-01-02,879.82
13336,2003-01-03,909.03
13337,2003-01-06,908.59
13338,2003-01-07,929.01
13339,2003-01-08,922.93
13340,2003-01-09,909.93
13341,2003-01-10,927.58
13342,2003-01-13,927.57
13343,2003-01-14,926.26
13344,2003-01-15,931.66
13345,2003-01-16,918.22
13346,2003-01-17,914.6
13347,2003-01-21,901.78
13348,2003-01-22,887.62
13349,2003-01-23,878.36
13350,2003-01-24,887.34
13351,2003-01-27,861.4
13352,2003-01-28,847.48
13353,2003-01-29,858.54
13354,2003-01-30,864.36
13355,2003-01-31,844.61
13356,2003-02-03,855.7
13357,2003-02-04,860.32
13358,2003-02-05,848.2
13359,2003-02-06,843.59
13360,2003-02-07,838.15
13361,2003-02-10,829.69
13362,2003-02-11,835.97
13363,2003-02-12,829.2
13364,2003-02-13,818.68
13365,2003-02-14,817.37
13366,2003-02-18,834.89
13367,2003-02-19,851.17
13368,2003-02-20,845.13
13369,2003-02-21,837.1
13370,2003-02-24,848.17
13371,2003-02-25,832.58
13372,2003-02-26,838.57
13373,2003-02-27,827.55
13374,2003-02-28,837.28
13375,2003-03-03,841.15
13376,2003-03-04,834.81
13377,2003-03-05,821.99
13378,2003-03-06,829.85
13379,2003-03-07,822.1
13380,2003-03-10,828.89
13381,2003-03-11,807.48
13382,2003-03-12,800.73
13383,2003-03-13,804.19
13384,2003-03-14,831.9
13385,2003-03-17,833.27
13386,2003-03-18,862.79
13387,2003-03-19,866.45
13388,2003-03-20,874.02
13389,2003-03-21,875.67
13390,2003-03-24,895.79
13391,2003-03-25,864.23
13392,2003-03-26,874.74
13393,2003-03-27,869.95
13394,2003-03-28,868.52
13395,2003-03-31,863.5
13396,2003-04-01,848.18
13397,2003-04-02,858.48
13398,2003-04-03,880.9
13399,2003-04-04,876.45
13400,2003-04-07,878.85
13401,2003-04-08,879.93
13402,2003-04-09,878.29
13403,2003-04-10,865.99
13404,2003-04-11,871.58
13405,2003-04-14,868.3
13406,2003-04-15,885.23
13407,2003-04-16,890.81
13408,2003-04-17,879.91
13409,2003-04-21,893.58
13410,2003-04-22,892.01
13411,2003-04-23,911.37
13412,2003-04-24,919.02
13413,2003-04-25,911.43
13414,2003-04-28,898.81
13415,2003-04-29,914.84
13416,2003-04-30,917.84
13417,2003-05-01,916.92
13418,2003-05-02,916.3
13419,2003-05-05,930.08
13420,2003-05-06,926.55
13421,2003-05-07,934.39
13422,2003-05-08,929.62
13423,2003-05-09,920.27
13424,2003-05-12,933.41
13425,2003-05-13,945.11
13426,2003-05-14,942.3
13427,2003-05-15,939.28
13428,2003-05-16,946.67
13429,2003-05-19,944.3
13430,2003-05-20,920.77
13431,2003-05-21,919.73
13432,2003-05-22,923.42
13433,2003-05-23,931.87
13434,2003-05-27,933.22
13435,2003-05-28,951.48
13436,2003-05-29,953.22
13437,2003-05-30,949.64
13438,2003-06-02,963.59
13439,2003-06-03,967.0
13440,2003-06-04,971.56
13441,2003-06-05,986.24
13442,2003-06-06,990.14
13443,2003-06-09,987.76
13444,2003-06-10,975.93
13445,2003-06-11,984.84
13446,2003-06-12,997.48
13447,2003-06-13,998.51
13448,2003-06-16,988.61
13449,2003-06-17,1010.74
13450,2003-06-18,1011.66
13451,2003-06-19,1010.09
13452,2003-06-20,994.7
13453,2003-06-23,995.69
13454,2003-06-24,981.64
13455,2003-06-25,983.45
13456,2003-06-26,975.32
13457,2003-06-27,985.82
13458,2003-06-30,976.22
13459,2003-07-01,974.5
13460,2003-07-02,982.32
13461,2003-07-03,993.75
13462,2003-07-07,985.7
13463,2003-07-08,1004.42
13464,2003-07-09,1007.84
13465,2003-07-10,1002.21
