,Unnamed: 0,DXY
6190,2003-01-01,101.85
6191,2003-01-02,101.88
6192,2003-01-03,102.98
6193,2003-01-06,102.47
6194,2003-01-07,101.97
6195,2003-01-08,102.57
6196,2003-01-09,101.87
6197,2003-01-10,101.94
6198,2003-01-13,101.23
6199,2003-01-14,101.47
6200,2003-01-15,101.21
6201,2003-01-16,101.34
6202,2003-01-17,100.79
6203,2003-01-20,100.55
6204,2003-01-21,100.47
6205,2003-01-22,100.23
6206,2003-01-23,100.23
6207,2003-01-24,99.86
6208,2003-01-27,99.22
6209,2003-01-28,99.26
6210,2003-01-29,99.48
6211,2003-01-30,99.28
6212,2003-01-31,99.52
6213,2003-02-03,99.91
6214,2003-02-04,99.9
6215,2003-02-05,99.14
6216,2003-02-06,99.65
6217,2003-02-07,99.46
6218,2003-02-10,99.57
6219,2003-02-11,100.27
6220,2003-02-12,100.39
6221,2003-02-13,100.51
6222,2003-02-14,99.59
6223,2003-02-17,100.04
6224,2003-02-18,100.46
6225,2003-02-19,100.53
6226,2003-02-20,100.0
6227,2003-02-21,99.55
6228,2003-02-24,100.09
6229,2003-02-25,99.66
6230,2003-02-26,99.86
6231,2003-02-27,99.62
6232,2003-02-28,99.81
6233,2003-03-03,99.71
6234,2003-03-04,99.1
6235,2003-03-05,99.13
6236,2003-03-06,98.28
6237,2003-03-07,98.31
6238,2003-03-10,98.04
6239,2003-03-11,97.85
6240,2003-03-12,97.91
6241,2003-03-13,98.16
6242,2003-03-14,99.78
6243,2003-03-17,99.99
6244,2003-03-18,100.74
6245,2003-03-19,100.86
6246,2003-03-20,101.58
6247,2003-03-21,101.15
6248,2003-03-24,102.0
6249,2003-03-25,100.99
6250,2003-03-26,100.87
6251,2003-03-27,100.53
6252,2003-03-28,100.64
6253,2003-03-31,99.96
6254,2003-04-01,98.88
6255,2003-04-02,99.15
6256,2003-04-03,100.08
6257,2003-04-04,100.34
6258,2003-04-07,100.4
6259,2003-04-08,100.7
6260,2003-04-09,100.53
6261,2003-04-10,100.16
6262,2003-04-11,99.82
6263,2003-04-14,100.18
6264,2003-04-15,99.96
6265,2003-04-16,99.76
6266,2003-04-17,99.06
6267,2003-04-18,99.3
6268,2003-04-21,99.28
6269,2003-04-22,99.59
6270,2003-04-23,98.73
6271,2003-04-24,98.78
6272,2003-04-25,98.33
6273,2003-04-28,98.36
6274,2003-04-29,98.67
6275,2003-04-30,98.02
6276,2003-05-01,97.19
6277,2003-05-02,96.7
6278,2003-05-05,96.75
6279,2003-05-06,96.37
6280,2003-05-07,95.34
6281,2003-05-08,95.58
6282,2003-05-09,94.93
6283,2003-05-12,94.98
6284,2003-05-13,94.55
6285,2003-05-14,94.7
6286,2003-05-15,94.58
6287,2003-05-16,95.22
6288,2003-05-19,94.08
6289,2003-05-20,93.74
6290,2003-05-21,93.26
6291,2003-05-22,93.54
6292,2003-05-23,93.56
6293,2003-05-27,93.05
6294,2003-05-28,92.72
6295,2003-05-29,93.45
6296,2003-05-30,92.71
6297,2003-06-02,93.29
6298,2003-06-03,93.34
6299,2003-06-04,93.53
6300,2003-06-05,93.73
6301,2003-06-06,92.52
6302,2003-06-09,93.48
6303,2003-06-10,93.3
6304,2003-06-11,93.56
6305,2003-06-12,92.97
6306,2003-06-13,92.87
6307,2003-06-16,92.22
6308,2003-06-17,92.4
6309,2003-06-18,92.61
6310,2003-06-19,93.17
6311,2003-06-20,93.16
6312,2003-06-23,93.91
6313,2003-06-24,94.08
6314,2003-06-25,94.39
6315,2003-06-26,94.12
6316,2003-06-27,94.97
6317,2003-06-30,95.04
6318,2003-07-01,94.73
6319,2003-07-02,94.3
6320,2003-07-03,94.13
6321,2003-07-04,94.35
6322,2003-07-07,94.55
6323,2003-07-08,95.51
6324,2003-07-09,95.82
6325,2003-07-10,95.55
6326,2003-07-11,95.39
6327,2003-07-14,95.8
6328,2003-07-15,96.07
6329,2003-07-16,97.0
6330,2003-07-17,96.72
6331,2003-07-18,96.86
6332,2003-07-21,96.63
6333,2003-07-22,96.11
6334,2003-07-23,96.38
6335,2003-07-24,95.44
6336,2003-07-25,95.34
6337,2003-07-28,94.96
6338,2003-07-29,95.08
6339,2003-07-30,95.33
6340,2003-07-31,96.07
6341,2003-08-01,96.89
6342,2003-08-04,96.66
6343,2003-08-05,96.16
6344,2003-08-06,96.16
6345,2003-08-07,96.29
6346,2003-08-08,95.83
6347,2003-08-11,96.36
6348,2003-08-12,95.87
6349,2003-08-13,96.15
6350,2003-08-14,96.18
6351,2003-08-15,96.68
6352,2003-08-18,96.65
6353,2003-08-19,97.35
6354,2003-08-20,97.31
6355,2003-08-21,97.37
6356,2003-08-22,98.61
6357,2003-08-25,98.83
6358,2003-08-26,98.92
6359,2003-08-27,98.76
6360,2003-08-28,98.86
6361,2003-08-29,98.83
6362,2003-09-01,98.1
6363,2003-09-02,98.07
6364,2003-09-03,98.95
6365,2003-09-04,98.71
6366,2003-09-05,98.2
6367,2003-09-08,97.09
6368,2003-09-09,97.16
6369,2003-09-10,96.44
6370,2003-09-11,96.5
6371,2003-09-12,96.56
6372,2003-09-15,96.0
6373,2003-09-16,95.98
6374,2003-09-17,96.67
6375,2003-09-18,95.8
6376,2003-09-19,95.95
6377,2003-09-22,94.78
6378,2003-09-23,93.85
6379,2003-09-24,93.99
6380,2003-09-25,93.7
6381,2003-09-26,93.76
6382,2003-09-29,93.85
6383,2003-09-30,93.08
6384,2003-10-01,92.85
6385,2003-10-02,92.39
6386,2003-10-03,92.42
6387,2003-10-06,93.1
6388,2003-10-07,92.41
6389,2003-10-08,91.89
6390,2003-10-09,91.73
6391,2003-10-10,91.94
6392,2003-10-13,91.52
6393,2003-10-14,91.89
6394,2003-10-15,91.83
6395,2003-10-16,92.5
6396,2003-10-17,92.61
6397,2003-10-20,92.29
6398,2003-10-21,92.43
6399,2003-10-22,92.37
6400,2003-10-23,91.27
6401,2003-10-24,91.51
6402,2003-10-27,91.43
6403,2003-10-28,91.61
6404,2003-10-29,91.86
6405,2003-10-30,91.86
6406,2003-10-31,92.21
6407,2003-11-03,92.73
6408,2003-11-04,93.66
6409,2003-11-05,93.23
6410,2003-11-06,93.63
6411,2003-11-07,93.89
6412,2003-11-10,93.02
6413,2003-11-11,93.05
6414,2003-11-12,93.1
6415,2003-11-13,92.31
6416,2003-11-14,91.61
6417,2003-11-17,91.37
6418,2003-11-18,91.61
6419,2003-11-19,90.23
6420,2003-11-20,90.91
6421,2003-11-21,90.66
6422,2003-11-24,90.6
6423,2003-11-25,91.56
6424,2003-11-26,91.46
6425,2003-11-27,90.6
6426,2003-11-28,90.65
6427,2003-12-01,90.23
6428,2003-12-02,90.35
6429,2003-12-03,89.64
6430,2003-12-04,89.5
6431,2003-12-05,89.6
6432,2003-12-08,89.14
6433,2003-12-09,88.75
6434,2003-12-10,88.49
6435,2003-12-11,88.88
6436,2003-12-12,88.88
6437,2003-12-15,88.6
6438,2003-12-16,88.4
6439,2003-12-17,88.36
6440,2003-12-18,87.94
6441,2003-12-19,87.85
6442,2003-12-22,88.15
6443,2003-12-23,87.99
6444,2003-12-24,87.99
6445,2003-12-25,87.55
6446,2003-12-26,87.57
6447,2003-12-29,87.63
6448,2003-12-30,87.35
6449,2003-12-31,87.0
6450,2004-01-01,86.92
6451,2004-01-02,86.95
6452,2004-01-05,86.92
6453,2004-01-06,86.07
6454,2004-01-07,85.63
6455,2004-01-08,86.2
6456,2004-01-09,85.54
6457,2004-01-12,85.11
6458,2004-01-13,85.56
6459,2004-01-14,85.51
6460,2004-01-15,86.12
6461,2004-01-16,86.57
6462,2004-01-19,87.73
6463,2004-01-20,87.96
6464,2004-01-21,86.62
6465,2004-01-22,86.34
6466,2004-01-23,85.82
6467,2004-01-26,86.56
6468,2004-01-27,87.25
6469,2004-01-28,86.25
6470,2004-01-29,86.97
6471,2004-01-30,87.58
6472,2004-02-02,87.2
6473,2004-02-03,87.44
6474,2004-02-04,86.81
6475,2004-02-05,86.83
6476,2004-02-06,86.87
6477,2004-02-09,86.02
6478,2004-02-10,86.0
6479,2004-02-11,85.84
6480,2004-02-12,85.09
6481,2004-02-13,85.29
6482,2004-02-16,85.55
6483,2004-02-17,85.38
6484,2004-02-18,84.97
6485,2004-02-19,85.94
6486,2004-02-20,85.86
6487,2004-02-23,87.24
6488,2004-02-24,86.91
6489,2004-02-25,86.15
6490,2004-02-26,87.25
6491,2004-02-27,87.67
6492,2004-03-01,87.31
