,Unnamed: 0,LMNIDY
4034,2003-01-02,0.0
4035,2003-01-03,1.0
4036,2003-01-06,1.0
4037,2003-01-07,1.0
4038,2003-01-08,1.0
4039,2003-01-09,0.0
4040,2003-01-10,1.0
4041,2003-01-13,0.0
4042,2003-01-14,1.0
4043,2003-01-15,0.0
4044,2003-01-16,1.0
4045,2003-01-17,1.0
4046,2003-01-20,1.0
4047,2003-01-21,0.0
4048,2003-01-22,1.0
4049,2003-01-23,1.0
4050,2003-01-24,0.0
4051,2003-01-27,0.0
4052,2003-01-28,0.0
4053,2003-01-29,1.0
4054,2003-01-30,0.0
4055,2003-01-31,1.0
4056,2003-02-03,0.0
4057,2003-02-04,1.0
4058,2003-02-05,0.0
4059,2003-02-06,1.0
4060,2003-02-07,1.0
4061,2003-02-10,0.0
4062,2003-02-11,0.0
4063,2003-02-12,0.0
4064,2003-02-13,1.0
4065,2003-02-14,0.0
4066,2003-02-17,0.0
4067,2003-02-18,1.0
4068,2003-02-19,1.0
4069,2003-02-20,1.0
4070,2003-02-21,1.0
4071,2003-02-24,1.0
4072,2003-02-25,1.0
4073,2003-02-26,0.0
4074,2003-02-27,0.0
4075,2003-02-28,1.0
4076,2003-03-03,0.0
4077,2003-03-04,0.0
4078,2003-03-05,0.0
4079,2003-03-06,0.0
4080,2003-03-07,0.0
4081,2003-03-10,1.0
4082,2003-03-11,0.0
4083,2003-03-12,0.0
4084,2003-03-13,0.0
4085,2003-03-14,0.0
4086,2003-03-17,1.0
4087,2003-03-18,1.0
4088,2003-03-19,0.0
4089,2003-03-20,0.0
4090,2003-03-21,0.0
4091,2003-03-24,1.0
4092,2003-03-25,0.0
4093,2003-03-26,0.0
4094,2003-03-27,1.0
4095,2003-03-28,0.0
4096,2003-03-31,1.0
4097,2003-04-01,0.0
4098,2003-04-02,0.0
4099,2003-04-03,1.0
4100,2003-04-04,1.0
4101,2003-04-07,0.0
4102,2003-04-08,1.0
4103,2003-04-09,0.0
4104,2003-04-10,1.0
4105,2003-04-11,0.0
4106,2003-04-14,1.0
4107,2003-04-15,0.0
4108,2003-04-16,1.0
4109,2003-04-17,0.0
4110,2003-04-22,0.0
4111,2003-04-23,1.0
4112,2003-04-24,1.0
4113,2003-04-25,1.0
4114,2003-04-28,1.0
4115,2003-04-29,1.0
4116,2003-04-30,1.0
4117,2003-05-01,0.0
4118,2003-05-02,1.0
4119,2003-05-06,1.0
4120,2003-05-07,1.0
4121,2003-05-08,0.0
4122,2003-05-09,1.0
4123,2003-05-12,1.0
4124,2003-05-13,0.0
4125,2003-05-14,1.0
4126,2003-05-15,1.0
4127,2003-05-16,0.0
4128,2003-05-19,0.0
4129,2003-05-20,1.0
4130,2003-05-21,1.0
4131,2003-05-22,0.0
4132,2003-05-23,1.0
4133,2003-05-27,1.0
4134,2003-05-28,1.0
4135,2003-05-29,0.0
4136,2003-05-30,1.0
4137,2003-06-02,0.0
4138,2003-06-03,1.0
4139,2003-06-04,1.0
4140,2003-06-05,0.0
4141,2003-06-06,0.0
4142,2003-06-09,1.0
4143,2003-06-10,0.0
4144,2003-06-11,0.0
4145,2003-06-12,0.0
4146,2003-06-13,0.0
4147,2003-06-16,1.0
4148,2003-06-17,1.0
4149,2003-06-18,1.0
4150,2003-06-19,0.0
4151,2003-06-20,0.0
4152,2003-06-23,1.0
4153,2003-06-24,1.0
4154,2003-06-25,1.0
4155,2003-06-26,1.0
4156,2003-06-27,0.0
4157,2003-06-30,1.0
4158,2003-07-01,1.0
4159,2003-07-02,0.0
4160,2003-07-03,1.0
4161,2003-07-04,1.0
4162,2003-07-07,0.0
4163,2003-07-08,1.0
4164,2003-07-09,1.0
4165,2003-07-10,1.0
4166,2003-07-11,1.0
4167,2003-07-14,0.0
4168,2003-07-15,0.0
4169,2003-07-16,0.0
4170,2003-07-17,1.0
4171,2003-07-18,0.0
4172,2003-07-21,1.0
4173,2003-07-22,0.0
4174,2003-07-23,1.0
4175,2003-07-24,1.0
4176,2003-07-25,1.0
4177,2003-07-28,1.0
4178,2003-07-29,0.0
4179,2003-07-30,1.0
4180,2003-07-31,0.0
4181,2003-08-01,1.0
4182,2003-08-04,0.0
4183,2003-08-05,0.0
4184,2003-08-06,1.0
4185,2003-08-07,0.0
4186,2003-08-08,1.0
4187,2003-08-11,1.0
4188,2003-08-12,1.0
4189,2003-08-13,1.0
4190,2003-08-14,0.0
4191,2003-08-15,1.0
4192,2003-08-18,1.0
4193,2003-08-19,0.0
4194,2003-08-20,0.0
4195,2003-08-21,0.0
4196,2003-08-22,0.0
4197,2003-08-26,0.0
4198,2003-08-27,0.0
4199,2003-08-28,1.0
4200,2003-08-29,1.0
4201,2003-09-01,1.0
4202,2003-09-02,1.0
4203,2003-09-03,0.0
4204,2003-09-04,1.0
4205,2003-09-05,0.0
4206,2003-09-08,0.0
4207,2003-09-09,1.0
4208,2003-09-10,1.0
4209,2003-09-11,0.0
4210,2003-09-12,1.0
4211,2003-09-15,0.0
4212,2003-09-16,1.0
4213,2003-09-17,1.0
4214,2003-09-18,1.0
4215,2003-09-19,1.0
4216,2003-09-22,0.0
4217,2003-09-23,1.0
4218,2003-09-24,1.0
4219,2003-09-25,0.0
4220,2003-09-26,1.0
4221,2003-09-29,0.0
4222,2003-09-30,1.0
4223,2003-10-01,1.0
4224,2003-10-02,1.0
4225,2003-10-03,1.0
4226,2003-10-06,1.0
4227,2003-10-07,1.0
4228,2003-10-08,1.0
4229,2003-10-09,1.0
4230,2003-10-10,1.0
4231,2003-10-13,0.0
4232,2003-10-14,1.0
4233,2003-10-15,0.0
4234,2003-10-16,0.0
4235,2003-10-17,1.0
4236,2003-10-20,1.0
4237,2003-10-21,1.0
4238,2003-10-22,0.0
4239,2003-10-23,0.0
4240,2003-10-24,1.0
4241,2003-10-27,1.0
4242,2003-10-28,1.0
4243,2003-10-29,1.0
4244,2003-10-30,1.0
4245,2003-10-31,0.0
4246,2003-11-03,1.0
4247,2003-11-04,0.0
4248,2003-11-05,1.0
4249,2003-11-06,1.0
4250,2003-11-07,0.0
4251,2003-11-10,1.0
4252,2003-11-11,1.0
4253,2003-11-12,0.0
4254,2003-11-13,1.0
4255,2003-11-14,0.0
4256,2003-11-17,1.0
4257,2003-11-18,0.0
4258,2003-11-19,0.0
4259,2003-11-20,0.0
4260,2003-11-21,1.0
4261,2003-11-24,0.0
4262,2003-11-25,0.0
4263,2003-11-26,1.0
4264,2003-11-27,1.0
4265,2003-11-28,1.0
4266,2003-12-01,1.0
4267,2003-12-02,1.0
4268,2003-12-03,0.0
4269,2003-12-04,1.0
4270,2003-12-05,1.0
4271,2003-12-08,1.0
4272,2003-12-09,1.0
4273,2003-12-10,0.0
4274,2003-12-11,1.0
4275,2003-12-12,1.0
4276,2003-12-15,1.0
4277,2003-12-16,1.0
4278,2003-12-17,1.0
4279,2003-12-18,1.0
4280,2003-12-19,1.0
4281,2003-12-22,1.0
4282,2003-12-23,1.0
4283,2003-12-24,1.0
4284,2003-12-29,1.0
4285,2003-12-30,0.0
4286,2003-12-31,1.0
4287,2004-01-02,1.0
4288,2004-01-05,0.0
4289,2004-01-06,1.0
4290,2004-01-07,1.0
4291,2004-01-08,1.0
4292,2004-01-09,0.0
4293,2004-01-12,0.0
4294,2004-01-13,0.0
4295,2004-01-14,1.0
4296,2004-01-15,1.0
4297,2004-01-16,0.0
4298,2004-01-19,1.0
4299,2004-01-20,0.0
4300,2004-01-21,0.0
