,Unnamed: 0,SX5E
4142,2003-01-02,2398.65
4143,2003-01-03,2522.24
4144,2003-01-06,2502.19
4145,2003-01-07,2529.86
4146,2003-01-08,2504.91
4147,2003-01-09,2449.78
4148,2003-01-10,2492.18
4149,2003-01-13,2489.01
4150,2003-01-14,2497.61
4151,2003-01-15,2509.43
4152,2003-01-16,2479.71
4153,2003-01-17,2474.88
4154,2003-01-20,2390.36
4155,2003-01-21,2352.81
4156,2003-01-22,2326.93
4157,2003-01-23,2278.22
4158,2003-01-24,2269.04
4159,2003-01-27,2234.56
4160,2003-01-28,2154.53
4161,2003-01-29,2159.8
4162,2003-01-30,2189.03
4163,2003-01-31,2238.19
4164,2003-02-03,2248.17
4165,2003-02-04,2270.73
4166,2003-02-05,2184.36
4167,2003-02-06,2225.44
4168,2003-02-07,2169.88
4169,2003-02-10,2133.6
4170,2003-02-11,2125.75
4171,2003-02-12,2190.28
4172,2003-02-13,2136.6
4173,2003-02-14,2123.71
4174,2003-02-17,2199.97
4175,2003-02-18,2240.3
4176,2003-02-19,2280.82
4177,2003-02-20,2208.18
4178,2003-02-21,2173.77
4179,2003-02-24,2208.25
4180,2003-02-25,2160.58
4181,2003-02-26,2081.3
4182,2003-02-27,2058.97
4183,2003-02-28,2104.41
4184,2003-03-03,2140.73
4185,2003-03-04,2142.39
4186,2003-03-05,2093.04
4187,2003-03-06,2080.6
4188,2003-03-07,2043.35
4189,2003-03-10,1992.45
4190,2003-03-11,1936.39
4191,2003-03-12,1934.34
4192,2003-03-13,1849.64
4193,2003-03-14,1974.92
4194,2003-03-17,2079.71
4195,2003-03-18,2158.0
4196,2003-03-19,2153.86
4197,2003-03-20,2187.16
4198,2003-03-21,2156.89
4199,2003-03-24,2249.11
4200,2003-03-25,2124.78
4201,2003-03-26,2184.98
4202,2003-03-27,2172.64
4203,2003-03-28,2132.51
4204,2003-03-31,2132.11
4205,2003-04-01,2036.86
4206,2003-04-02,2067.23
4207,2003-04-03,2160.23
4208,2003-04-04,2182.97
4209,2003-04-07,2223.17
4210,2003-04-08,2314.54
4211,2003-04-09,2282.24
4212,2003-04-10,2279.52
4213,2003-04-11,2222.4
4214,2003-04-14,2247.47
4215,2003-04-15,2273.96
4216,2003-04-16,2317.72
4217,2003-04-17,2294.95
4218,2003-04-22,2324.27
4219,2003-04-23,2343.59
4220,2003-04-24,2365.97
4221,2003-04-25,2310.87
4222,2003-04-28,2271.92
4223,2003-04-29,2344.02
4224,2003-04-30,2322.27
4225,2003-05-01,2324.23
4226,2003-05-02,2324.23
4227,2003-05-05,2321.9
4228,2003-05-06,2351.65
4229,2003-05-07,2389.7
4230,2003-05-08,2357.14
4231,2003-05-09,2287.24
4232,2003-05-12,2314.1
4233,2003-05-13,2318.0
4234,2003-05-14,2312.9
4235,2003-05-15,2309.93
4236,2003-05-16,2344.01
4237,2003-05-19,2349.13
4238,2003-05-20,2248.03
4239,2003-05-21,2249.06
4240,2003-05-22,2229.43
4241,2003-05-23,2261.98
4242,2003-05-26,2246.58
4243,2003-05-27,2242.16
4244,2003-05-28,2259.35
4245,2003-05-29,2309.33
4246,2003-05-30,2310.83
4247,2003-06-02,2330.06
4248,2003-06-03,2379.39
4249,2003-06-04,2366.31
4250,2003-06-05,2394.79
4251,2003-06-06,2365.76
4252,2003-06-09,2421.92
4253,2003-06-10,2388.55
4254,2003-06-11,2410.55
4255,2003-06-12,2452.4
4256,2003-06-13,2479.91
4257,2003-06-16,2440.32
4258,2003-06-17,2492.28
4259,2003-06-18,2505.99
4260,2003-06-19,2527.44
4261,2003-06-20,2491.99
4262,2003-06-23,2515.33
4263,2003-06-24,2450.57
4264,2003-06-25,2446.78
4265,2003-06-26,2453.73
4266,2003-06-27,2452.86
4267,2003-06-30,2453.49
4268,2003-07-01,2419.51
4269,2003-07-02,2366.86
4270,2003-07-03,2420.35
4271,2003-07-04,2421.64
4272,2003-07-07,2408.18
4273,2003-07-08,2486.01
4274,2003-07-09,2492.73
4275,2003-07-10,2473.62
4276,2003-07-11,2441.9
4277,2003-07-14,2477.72
4278,2003-07-15,2517.88
4279,2003-07-16,2503.36
4280,2003-07-17,2487.99
4281,2003-07-18,2449.73
4282,2003-07-21,2458.92
4283,2003-07-22,2419.81
4284,2003-07-23,2436.88
4285,2003-07-24,2429.07
4286,2003-07-25,2480.87
4287,2003-07-28,2442.13
4288,2003-07-29,2486.76
4289,2003-07-30,2470.41
4290,2003-07-31,2483.9
4291,2003-08-01,2519.79
4292,2003-08-04,2479.7
4293,2003-08-05,2456.28
4294,2003-08-06,2481.77
4295,2003-08-07,2437.38
4296,2003-08-08,2436.06
4297,2003-08-11,2460.14
4298,2003-08-12,2479.06
4299,2003-08-13,2496.58
4300,2003-08-14,2497.74
4301,2003-08-15,2544.05
4302,2003-08-18,2548.86
4303,2003-08-19,2574.0
4304,2003-08-20,2579.19
4305,2003-08-21,2562.65
4306,2003-08-22,2583.91
4307,2003-08-25,2593.55
4308,2003-08-26,2565.03
4309,2003-08-27,2537.14
4310,2003-08-28,2560.76
4311,2003-08-29,2575.99
4312,2003-09-01,2556.71
4313,2003-09-02,2600.9
4314,2003-09-03,2599.8
4315,2003-09-04,2641.55
4316,2003-09-05,2638.8
4317,2003-09-08,2614.81
4318,2003-09-09,2635.6
4319,2003-09-10,2604.08
4320,2003-09-11,2565.52
4321,2003-09-12,2572.74
4322,2003-09-15,2546.78
4323,2003-09-16,2555.64
4324,2003-09-17,2585.28
4325,2003-09-18,2586.81
4326,2003-09-19,2608.58
4327,2003-09-22,2582.47
4328,2003-09-23,2514.11
4329,2003-09-24,2493.03
4330,2003-09-25,2477.34
4331,2003-09-26,2465.13
4332,2003-09-29,2447.92
4333,2003-09-30,2440.12
4334,2003-10-01,2395.87
4335,2003-10-02,2439.25
4336,2003-10-03,2434.63
4337,2003-10-06,2516.48
4338,2003-10-07,2497.1
4339,2003-10-08,2476.61
4340,2003-10-09,2473.88
4341,2003-10-10,2531.37
4342,2003-10-13,2518.44
4343,2003-10-14,2563.4
4344,2003-10-15,2552.38
4345,2003-10-16,2571.41
4346,2003-10-17,2557.8
4347,2003-10-20,2550.82
4348,2003-10-21,2552.18
4349,2003-10-22,2560.14
4350,2003-10-23,2509.97
4351,2003-10-24,2489.07
4352,2003-10-27,2482.56
4353,2003-10-28,2512.32
4354,2003-10-29,2542.7
4355,2003-10-30,2556.16
4356,2003-10-31,2571.51
4357,2003-11-03,2575.04
4358,2003-11-04,2631.65
4359,2003-11-05,2627.32
