id,label
LMEAluminium-test-60d-2019-01-02,1
LMEAluminium-test-60d-2019-01-03,1
LMEAluminium-test-60d-2019-01-04,0
LMEAluminium-test-60d-2019-01-07,0
LMEAluminium-test-60d-2019-01-08,0
LMEAluminium-test-60d-2019-01-09,0
LMEAluminium-test-60d-2019-01-10,0
LMEAluminium-test-60d-2019-01-11,0
LMEAluminium-test-60d-2019-01-14,1
LMEAluminium-test-60d-2019-01-15,0
LMEAluminium-test-60d-2019-01-16,0
LMEAluminium-test-60d-2019-01-17,0
LMEAluminium-test-60d-2019-01-18,0
LMEAluminium-test-60d-2019-01-21,0
LMEAluminium-test-60d-2019-01-22,0
LMEAluminium-test-60d-2019-01-23,0
LMEAluminium-test-60d-2019-01-24,0
LMEAluminium-test-60d-2019-01-25,0
LMEAluminium-test-60d-2019-01-28,0
LMEAluminium-test-60d-2019-01-29,0
LMEAluminium-test-60d-2019-01-30,0
LMEAluminium-test-60d-2019-01-31,0
LMEAluminium-test-60d-2019-02-01,0
LMEAluminium-test-60d-2019-02-04,0
LMEAluminium-test-60d-2019-02-05,0
LMEAluminium-test-60d-2019-02-06,0
LMEAluminium-test-60d-2019-02-07,0
LMEAluminium-test-60d-2019-02-08,0
LMEAluminium-test-60d-2019-02-11,0
LMEAluminium-test-60d-2019-02-12,0
LMEAluminium-test-60d-2019-02-13,0
LMEAluminium-test-60d-2019-02-14,0
LMEAluminium-test-60d-2019-02-15,0
LMEAluminium-test-60d-2019-02-18,0
LMEAluminium-test-60d-2019-02-19,0
LMEAluminium-test-60d-2019-02-20,0
LMEAluminium-test-60d-2019-02-21,0
LMEAluminium-test-60d-2019-02-22,0
LMEAluminium-test-60d-2019-02-25,0
LMEAluminium-test-60d-2019-02-26,0
LMEAluminium-test-60d-2019-02-27,0
LMEAluminium-test-60d-2019-02-28,0
LMEAluminium-test-60d-2019-03-01,0
LMEAluminium-test-60d-2019-03-04,0
LMEAluminium-test-60d-2019-03-05,0
LMEAluminium-test-60d-2019-03-06,0
LMEAluminium-test-60d-2019-03-07,0
LMEAluminium-test-60d-2019-03-08,0
LMEAluminium-test-60d-2019-03-11,0
LMEAluminium-test-60d-2019-03-12,0
LMEAluminium-test-60d-2019-03-13,0
LMEAluminium-test-60d-2019-03-14,0
LMEAluminium-test-60d-2019-03-15,0
LMEAluminium-test-60d-2019-03-18,0
LMEAluminium-test-60d-2019-03-19,0
LMEAluminium-test-60d-2019-03-20,0
LMEAluminium-test-60d-2019-03-21,0
LMEAluminium-test-60d-2019-03-22,0
LMEAluminium-test-60d-2019-03-25,0
LMEAluminium-test-60d-2019-03-26,0
LMEAluminium-test-60d-2019-03-27,0
LMEAluminium-test-60d-2019-03-28,0
LMEAluminium-test-60d-2019-03-29,0
LMEAluminium-test-60d-2019-04-01,0
LMEAluminium-test-60d-2019-04-02,0
LMEAluminium-test-60d-2019-04-03,0
LMEAluminium-test-60d-2019-04-04,0
LMEAluminium-test-60d-2019-04-05,0
LMEAluminium-test-60d-2019-04-08,0
LMEAluminium-test-60d-2019-04-09,0
LMEAluminium-test-60d-2019-04-10,0
LMEAluminium-test-60d-2019-04-11,0
LMEAluminium-test-60d-2019-04-12,0
LMEAluminium-test-60d-2019-04-15,0
LMEAluminium-test-60d-2019-04-16,0
LMEAluminium-test-60d-2019-04-17,0
LMEAluminium-test-60d-2019-04-18,0
LMEAluminium-test-60d-2019-04-23,0
LMEAluminium-test-60d-2019-04-24,0
LMEAluminium-test-60d-2019-04-25,0
LMEAluminium-test-60d-2019-04-26,0
LMEAluminium-test-60d-2019-04-29,1
LMEAluminium-test-60d-2019-04-30,1
LMEAluminium-test-60d-2019-05-01,1
LMEAluminium-test-60d-2019-05-02,1
LMEAluminium-test-60d-2019-05-03,1
LMEAluminium-test-60d-2019-05-07,1
LMEAluminium-test-60d-2019-05-08,1
LMEAluminium-test-60d-2019-05-09,1
LMEAluminium-test-60d-2019-05-10,1
LMEAluminium-test-60d-2019-05-13,1
LMEAluminium-test-60d-2019-05-14,0
LMEAluminium-test-60d-2019-05-15,0
LMEAluminium-test-60d-2019-05-16,0
LMEAluminium-test-60d-2019-05-17,0
LMEAluminium-test-60d-2019-05-20,1
LMEAluminium-test-60d-2019-05-21,1
LMEAluminium-test-60d-2019-05-22,1
LMEAluminium-test-60d-2019-05-23,1
LMEAluminium-test-60d-2019-05-24,1
LMEAluminium-test-60d-2019-05-28,1
LMEAluminium-test-60d-2019-05-29,1
LMEAluminium-test-60d-2019-05-30,1
LMEAluminium-test-60d-2019-05-31,1
LMEAluminium-test-60d-2019-06-03,1
LMEAluminium-test-60d-2019-06-04,1
LMEAluminium-test-60d-2019-06-05,1
LMEAluminium-test-60d-2019-06-06,1
LMEAluminium-test-60d-2019-06-07,1
LMEAluminium-test-60d-2019-06-10,1
LMEAluminium-test-60d-2019-06-11,1
LMEAluminium-test-60d-2019-06-12,1
LMEAluminium-test-60d-2019-06-13,1
LMEAluminium-test-60d-2019-06-14,1
LMEAluminium-test-60d-2019-06-17,1
LMEAluminium-test-60d-2019-06-18,1
LMEAluminium-test-60d-2019-06-19,1
LMEAluminium-test-60d-2019-06-20,1
LMEAluminium-test-60d-2019-06-21,1
LMEAluminium-test-60d-2019-06-24,1
LMEAluminium-test-60d-2019-06-25,1
LMEAluminium-test-60d-2019-06-26,1
LMEAluminium-test-60d-2019-06-27,1
LMEAluminium-test-60d-2019-06-28,1
LMEAluminium-test-60d-2019-07-01,1
LMEAluminium-test-60d-2019-07-02,1
LMEAluminium-test-60d-2019-07-03,1
LMEAluminium-test-60d-2019-07-04,1
LMEAluminium-test-60d-2019-07-05,1
LMEAluminium-test-60d-2019-07-08,1
LMEAluminium-test-60d-2019-07-09,1
LMEAluminium-test-60d-2019-07-10,0
LMEAluminium-test-60d-2019-07-11,1
LMEAluminium-test-60d-2019-07-12,1
LMEAluminium-test-60d-2019-07-15,0
LMEAluminium-test-60d-2019-07-16,0
LMEAluminium-test-60d-2019-07-17,0
LMEAluminium-test-60d-2019-07-18,0
LMEAluminium-test-60d-2019-07-19,0
LMEAluminium-test-60d-2019-07-22,1
LMEAluminium-test-60d-2019-07-23,1
LMEAluminium-test-60d-2019-07-24,1
LMEAluminium-test-60d-2019-07-25,1
LMEAluminium-test-60d-2019-07-26,1
LMEAluminium-test-60d-2019-07-29,1
LMEAluminium-test-60d-2019-07-30,1
LMEAluminium-test-60d-2019-07-31,1
LMEAluminium-test-60d-2019-08-01,1
LMEAluminium-test-60d-2019-08-02,1
LMEAluminium-test-60d-2019-08-05,1
LMEAluminium-test-60d-2019-08-06,1
LMEAluminium-test-60d-2019-08-07,1
LMEAluminium-test-60d-2019-08-08,1
LMEAluminium-test-60d-2019-08-09,1
LMEAluminium-test-60d-2019-08-12,1
LMEAluminium-test-60d-2019-08-13,1
LMEAluminium-test-60d-2019-08-14,1
LMEAluminium-test-60d-2019-08-15,1
LMEAluminium-test-60d-2019-08-16,1
LMEAluminium-test-60d-2019-08-19,1
LMEAluminium-test-60d-2019-08-20,1
LMEAluminium-test-60d-2019-08-21,1
LMEAluminium-test-60d-2019-08-22,1
LMEAluminium-test-60d-2019-08-23,1
LMEAluminium-test-60d-2019-08-27,1
LMEAluminium-test-60d-2019-08-28,1
LMEAluminium-test-60d-2019-08-29,1
LMEAluminium-test-60d-2019-08-30,1
LMEAluminium-test-60d-2019-09-02,1
LMEAluminium-test-60d-2019-09-03,1
LMEAluminium-test-60d-2019-09-04,1
LMEAluminium-test-60d-2019-09-05,1
LMEAluminium-test-60d-2019-09-06,1
LMEAluminium-test-60d-2019-09-09,1
LMEAluminium-test-60d-2019-09-10,1
LMEAluminium-test-60d-2019-09-11,1
LMEAluminium-test-60d-2019-09-12,1
LMEAluminium-test-60d-2019-09-13,1
LMEAluminium-test-60d-2019-09-16,1
LMEAluminium-test-60d-2019-09-17,1
LMEAluminium-test-60d-2019-09-18,1
LMEAluminium-test-60d-2019-09-19,1
LMEAluminium-test-60d-2019-09-20,1
LMEAluminium-test-60d-2019-09-23,1
LMEAluminium-test-60d-2019-09-24,1
LMEAluminium-test-60d-2019-09-25,1
LMEAluminium-test-60d-2019-09-26,1
LMEAluminium-test-60d-2019-09-27,1
LMEAluminium-test-60d-2019-09-30,1
LMEAluminium-test-60d-2019-10-01,1
LMEAluminium-test-60d-2019-10-02,1
LMEAluminium-test-60d-2019-10-03,1
LMEAluminium-test-60d-2019-10-04,1
LMEAluminium-test-60d-2019-10-07,1
LMEAluminium-test-60d-2019-10-08,1
LMEAluminium-test-60d-2019-10-09,1
LMEAluminium-test-60d-2019-10-10,1
LMEAluminium-test-60d-2019-10-11,1
LMEAluminium-test-60d-2019-10-14,1
LMEAluminium-test-60d-2019-10-15,1
LMEAluminium-test-60d-2019-10-16,1
LMEAluminium-test-60d-2019-10-17,1
LMEAluminium-test-60d-2019-10-18,1
LMEAluminium-test-60d-2019-10-21,1
LMEAluminium-test-60d-2019-10-22,1
LMEAluminium-test-60d-2019-10-23,1
LMEAluminium-test-60d-2019-10-24,1
LMEAluminium-test-60d-2019-10-25,1
LMEAluminium-test-60d-2019-10-28,1
LMEAluminium-test-60d-2019-10-29,1
LMEAluminium-test-60d-2019-10-30,1
LMEAluminium-test-60d-2019-10-31,1
LMEAluminium-test-60d-2019-11-01,1
LMEAluminium-test-60d-2019-11-04,1
LMEAluminium-test-60d-2019-11-05,1
LMEAluminium-test-60d-2019-11-06,1
LMEAluminium-test-60d-2019-11-07,1
LMEAluminium-test-60d-2019-11-08,1
LMEAluminium-test-60d-2019-11-11,1
LMEAluminium-test-60d-2019-11-12,1
LMEAluminium-test-60d-2019-11-13,1
LMEAluminium-test-60d-2019-11-14,1
LMEAluminium-test-60d-2019-11-15,1
LMEAluminium-test-60d-2019-11-18,1
LMEAluminium-test-60d-2019-11-19,1
LMEAluminium-test-60d-2019-11-20,1
LMEAluminium-test-60d-2019-11-21,1
LMEAluminium-test-60d-2019-11-22,1
LMEAluminium-test-60d-2019-11-25,1
LMEAluminium-test-60d-2019-11-26,1
LMEAluminium-test-60d-2019-11-27,1
LMEAluminium-test-60d-2019-11-28,1
LMEAluminium-test-60d-2019-11-29,1
LMEAluminium-test-60d-2019-12-02,1
LMEAluminium-test-60d-2019-12-03,1
LMEAluminium-test-60d-2019-12-04,1
LMEAluminium-test-60d-2019-12-05,1
LMEAluminium-test-60d-2019-12-06,1
LMEAluminium-test-60d-2019-12-09,1
LMEAluminium-test-60d-2019-12-10,1
LMEAluminium-test-60d-2019-12-11,1
LMEAluminium-test-60d-2019-12-12,1
LMEAluminium-test-60d-2019-12-13,1
LMEAluminium-test-60d-2019-12-16,1
LMEAluminium-test-60d-2019-12-17,1
LMEAluminium-test-60d-2019-12-18,1
LMEAluminium-test-60d-2019-12-19,1
LMEAluminium-test-60d-2019-12-20,1
